,OBJECTID,GEO_ID,LFN_ID,LF_NAME,FNODE,TNODE,ONE_WAY_DI,length_in_,GEO_ID_1,LTS,Shape_Leng,geometry,index_left,Count Date,8 Peak Hr Vehicle Volume,8 Peak Hr Pedestrian Volume
478,479,912740,2164,Neilson Dr,13469153,13469038,0,134.469389791,912740,3,0.00125297113901,"LINESTRING (615614.8227075908 4832142.31592184, 615574.5970015409 4832270.608520225)","(2149.0,)","('09-23-2014',)",13433.0,120.0
492,493,7641278,1243,Brown's Line,13470240,13470217,0,80.1093239771,7641278,3,0.00074226010135,"LINESTRING (617171.9020010715 4829394.610057044, 617160.9218639731 4829435.729501508, 617152.2534335108 4829464.072987978, 617149.9241174127 4829471.62091165)","(890.0,)","('04-04-2017',)",17551.0,106.0
500,501,7324035,1163,Beta St,13470377,13470315,0,252.177916309,7324035,2,0.00235588847048,"LINESTRING (617949.9832103492 4828841.173591138, 617871.677609629 4829080.8515259)","(1924.0,)","('05-15-2013',)",6526.0,350.0
501,502,3326992,1243,Brown's Line,13470311,13470305,0,38.7690174638,3326992,2,0.000365496215885,"LINESTRING (617264.1466300624 4829105.392471233, 617250.7439744016 4829141.765697029)","(759.0,)","('11-24-2016',)",19000.0,116.0
506,507,3327053,1243,Brown's Line,13470305,13470287,0,64.5415514547,3327053,2,0.000601675488533,"LINESTRING (617250.7439744016 4829141.765697029, 617231.2780062032 4829203.292891289)","(759.0,)","('11-24-2016',)",19000.0,116.0
509,510,6735887,1823,Horner Ave,13470377,13470385,0,99.0600913106,6735887,4,0.00120094449188,"LINESTRING (617949.9832103492 4828841.173591138, 617855.9900006535 4828809.938294591)","(1924.0,)","('05-15-2013',)",6526.0,350.0
519,520,914239,2695,Valermo Dr,13470297,13470305,0,97.8511131935,914239,3,0.00118596208287,"LINESTRING (617343.5216938872 4829172.824150715, 617255.018263591 4829143.195059844, 617250.7439744016 4829141.765697029)","(759.0,)","('11-24-2016',)",19000.0,116.0
533,534,5674870,1823,Horner Ave,13470372,13470377,0,118.377412969,5674870,4,0.00143733800207,"LINESTRING (618062.7118942444 4828877.254680806, 617949.9832103492 4828841.173591138)","(1924.0,)","('05-15-2013',)",6526.0,350.0
536,537,914112,2475,Sherway Dr,13470207,13470220,0,40.5949027844,914112,4,0.000407562895056,"LINESTRING (616183.8077170146 4829500.347678995, 616165.5375918465 4829470.217405705, 616164.7519309863 4829468.702134239, 616163.9762940559 4829466.68808385, 616163.2496637437 4829465.390041933)","(926.0,)","('03-28-2011',)",13642.0,1478.0
537,538,3327190,2604,The West Mall,13470207,13470140,0,363.982366159,3327190,4,0.00364670136523,"LINESTRING (616183.8077170146 4829500.347678995, 616179.9102232398 4829503.300109153, 616175.9972475505 4829506.333400391, 616172.0887878307 4829509.449797665, 616168.181280273 4829512.570110119, 616164.2649451593 4829515.67638417, 616160.310397503 4829518.905887059, 616156.3344641339 4829521.936999001, 616152.3360285049 4829524.938849073, 616148.3425780206 4829527.946482707, 616144.408113914 4829531.115497094, 616140.7457623066 4829534.723340023, 616137.3317797089 4829538.091607331, 616133.924618434 4829541.854041263, 616130.5674384335 4829545.564390338, 616127.4367260467 4829549.364787835, 616124.5299419551 4829553.280266977, 616121.7727269535 4829557.433527949, 616119.1029269625 4829561.737270985, 616116.5633839958 4829566.023289697, 616114.1635314139 4829570.606065621, 616112.0992574731 4829575.320743218, 616109.5120245845 4829579.146050368, 616106.959835084 4829583.63896762, 616104.5111188951 4829587.82475525, 616102.1681236923 4829592.579366899, 616100.0470057372 4829596.792112149, 616097.908787396 4829601.669465716, 616095.8454247623 4829606.169256238, 616093.8054164201 4829610.427368901, 616092.0530755402 4829615.202705975, 616090.3553656334 4829620.223170883, 616088.5467268523 4829624.573413779, 616086.5964906216 4829629.177374767, 616084.687757952 4829633.80783205, 616082.7941179146 4829638.434654734, 616080.9452024258 4829642.910388695, 616079.1211350025 4829647.565293263, 616077.2600405713 4829652.379813283, 616075.3346477405 4829656.992100402, 616073.3556660508 4829661.58437698, 616071.2842138017 4829666.41903381, 616069.2140018794 4829670.968468408, 616067.2819246638 4829675.342755084, 616065.3600534283 4829679.982980766, 616063.3284680743 4829684.549271436, 616061.2648685051 4829689.124100084, 616059.1727597825 4829693.66436612, 616057.1373410141 4829698.435708198, 616055.122996536 4829702.933461372, 616052.9663568819 4829707.444536814, 616050.8360152027 4829711.661232598, 616048.7557162427 4829716.207800589, 616046.6813837809 4829720.812420524, 616044.5901707544 4829725.297855319, 616042.4139098307 4829730.175664955, 616040.1313936634 4829734.293515068, 616037.6414832043 4829738.486604205, 616035.3131290663 4829742.97972497, 616032.9359416518 4829747.74006062, 616030.2623172194 4829751.810878155, 616027.7358319055 4829756.033310506, 616024.959607446 4829760.353328597, 616022.3123313271 4829764.399727506, 616019.572556823 4829768.581303375, 616016.9099807928 4829773.088326128, 616014.3155858046 4829777.028539426, 616011.6767072177 4829781.274109102, 616009.0283596292 4829785.819446887, 616006.3628419139 4829790.048471742, 616003.5390048891 4829793.849538313, 616000.7385366098 4829798.234087679, 615995.8126886055 4829805.621424128)","(926.0,)","('03-28-2011',)",13642.0,1478.0
